wav,dataset,speaker,label,start_sec,end_sec,duration_sec,rms_mean,rms_std,zcr_mean,spec_cent_mean,f0_mean,f0_median,f0_std,f0_min,f0_max,voiced_ratio
data/processed/audio/crema-d/1001/angry/1001_DFA_ANG_XX_16k_mono_trim_norm.wav,crema-d,1001,angry,0.0,1.12,1.12,0.04275936633348465,0.06662854552268982,0.053407060339095744,720.8734967860489,144.1425598658481,147.25916241160948,14.046981785875637,119.60961217374037,159.65967727133,0.3085106313228607
data/processed/audio/crema-d/1001/angry/1001_IEO_ANG_HI_16k_mono_trim_norm.wav,crema-d,1001,angry,0.0,1.09,1.09,0.031116073951125145,0.05037650465965271,0.05515760056515957,704.7590070098219,0.0,0.0,0.0,0.0,0.0,0.0
data/processed/audio/crema-d/1001/angry/1001_IEO_ANG_LO_16k_mono_trim_norm.wav,crema-d,1001,angry,0.0,0.77,0.77,0.033827148377895355,0.06756838411092758,0.03242395279255319,488.24667300826894,0.0,0.0,0.0,0.0,0.0,0.0
data/processed/audio/crema-d/1001/angry/1001_IEO_ANG_MD_16k_mono_trim_norm.wav,crema-d,1001,angry,0.0,1.57,1.57,0.059607017785310745,0.07023084163665771,0.07321102061170212,952.8917378334322,127.2383914383349,127.91480778417423,11.508933588541561,111.59971426302234,143.893358001082,0.22340425848960876
data/processed/audio/crema-d/1001/angry/1001_IOM_ANG_XX_16k_mono_trim_norm.wav,crema-d,1001,angry,0.0,0.99,0.99,0.037700001150369644,0.06501828134059906,0.03353037732712766,538.7518410879203,118.77177923063515,123.11444133449163,11.213730391650234,97.71599684342459,129.68395546510095,0.26595744490623474
data/processed/audio/crema-d/1001/angry/1001_ITH_ANG_XX_16k_mono_trim_norm.wav,crema-d,1001,angry,0.0,1.38,1.38,0.046907689422369,0.06599649786949158,0.060087163397606384,828.8446334268173,0.0,0.0,0.0,0.0,0.0,0.0
data/processed/audio/crema-d/1001/angry/1001_ITS_ANG_XX_16k_mono_trim_norm.wav,crema-d,1001,angry,0.0,1.63,1.63,0.04305783659219742,0.04917842149734497,0.10699333028590426,1231.6302048279285,0.0,0.0,0.0,0.0,0.0,0.0
data/processed/audio/crema-d/1001/angry/1001_IWL_ANG_XX_16k_mono_trim_norm.wav,crema-d,1001,angry,0.0,2.11,2.11,0.069694384932518,0.06029777228832245,0.07627576462765957,1157.7548124716425,143.54393537076587,147.25670581005258,13.189047998647444,119.60961217374037,166.24757922855756,0.5372340679168701
data/processed/audio/crema-d/1001/angry/1001_IWW_ANG_XX_16k_mono_trim_norm.wav,crema-d,1001,angry,0.0,1.12,1.12,0.04355187714099884,0.06676983088254929,0.058214552859042555,779.6114730804964,0.0,0.0,0.0,0.0,0.0,0.0
data/processed/audio/crema-d/1001/angry/1001_MTI_ANG_XX_16k_mono_trim_norm.wav,crema-d,1001,angry,0.0,1.86,1.86,0.070868119597435,0.07263500988483429,0.06278050199468085,975.1156014434822,130.57500689818104,126.35703740909676,12.633140551230838,116.87772485612456,156.91681957935012,0.3510638177394867
